order_details_id,order_id,pizza_id,quantity,date,time,pizza_type_id,size,price
357,146.0,hawaiian_m,1,2015-01-03,14:22:10,hawaiian,M,"13,25"
389,163.0,hawaiian_m,1,2015-01-03,16:54:54,hawaiian,M,"13,25"
2515,1113.0,hawaiian_m,1,2015-01-19,17:00:44,hawaiian,M,"13,25"
4531,2006.0,hawaiian_m,1,2015-02-03,12:35:28,hawaiian,M,"13,25"
4551,2015.0,hawaiian_m,1,2015-02-03,13:23:49,hawaiian,M,"13,25"
5631,2495.0,hawaiian_m,1,2015-02-11,14:50:55,hawaiian,M,"13,25"
7749,3412.0,hawaiian_m,1,2015-02-27,12:40:41,hawaiian,M,"13,25"
9787,4287.0,hawaiian_m,1,2015-03-13,20:22:24,hawaiian,M,"13,25"
9931,4351.0,hawaiian_m,1,2015-03-14,21:05:17,hawaiian,M,"13,25"
9946,4357.0,hawaiian_m,1,2015-03-15,11:49:01,hawaiian,M,"13,25"
716,314.0,hawaiian_m,1,2015-01-06,12:11:58,hawaiian,M,"13,25"
806,351.0,hawaiian_m,1,2015-01-06,17:37:29,hawaiian,M,"13,25"
856,377.0,hawaiian_m,1,2015-01-07,12:03:18,hawaiian,M,"13,25"
2791,1234.0,hawaiian_m,1,2015-01-21,17:36:59,hawaiian,M,"13,25"
2915,1284.0,hawaiian_m,1,2015-01-22,15:53:38,hawaiian,M,"13,25"
5987,2652.0,hawaiian_m,1,2015-02-13,21:00:56,hawaiian,M,"13,25"
7958,3496.0,hawaiian_m,1,2015-02-28,17:01:57,hawaiian,M,"13,25"
10051,4397.0,hawaiian_m,1,2015-03-15,19:49:03,hawaiian,M,"13,25"
10060,4402.0,hawaiian_m,1,2015-03-15,21:26:48,hawaiian,M,"13,25"
2278,1016.0,hawaiian_m,1,2015-01-17,19:44:36,hawaiian,M,"13,25"
4244,1884.0,hawaiian_m,1,2015-02-01,16:34:15,hawaiian,M,"13,25"
4836,2138.0,hawaiian_m,1,2015-02-05,15:08:13,hawaiian,M,"13,25"
4944,2188.0,hawaiian_m,1,2015-02-06,13:13:33,hawaiian,M,"13,25"
6984,3082.0,hawaiian_m,1,2015-02-21,12:37:30,hawaiian,M,"13,25"
7013,3093.0,hawaiian_m,1,2015-02-21,15:07:39,hawaiian,M,"13,25"
9019,3951.0,hawaiian_m,1,2015-03-08,14:14:25,hawaiian,M,"13,25"
9027,3957.0,hawaiian_m,1,2015-03-08,15:02:47,hawaiian,M,"13,25"
9036,3963.0,hawaiian_m,1,2015-03-08,15:59:35,hawaiian,M,"13,25"
9074,3978.0,hawaiian_m,2,2015-03-08,17:55:21,hawaiian,M,"13,25"
4084,1816.0,hawaiian_m,1,2015-01-31,17:59:29,hawaiian,M,"13,25"
4129,1835.0,hawaiian_m,1,2015-01-31,20:28:11,hawaiian,M,"13,25"
4143,1840.0,hawaiian_m,1,2015-01-31,21:01:00,hawaiian,M,"13,25"
6817,3010.0,hawaiian_m,1,2015-02-20,12:26:16,hawaiian,M,"13,25"
6883,3037.0,hawaiian_m,1,2015-02-20,15:16:15,hawaiian,M,"13,25"
8794,3858.0,hawaiian_m,2,2015-03-06,18:42:52,hawaiian,M,"13,25"
8855,3884.0,hawaiian_m,1,2015-03-07,11:52:36,hawaiian,M,"13,25"
10849,4749.0,hawaiian_m,1,2015-03-21,14:46:54,hawaiian,M,"13,25"
10878,4763.0,hawaiian_m,1,2015-03-21,18:44:01,hawaiian,M,"13,25"
10885,4765.0,hawaiian_m,1,2015-03-21,18:53:49,hawaiian,M,"13,25"
10906,4774.0,hawaiian_m,1,2015-03-21,20:14:45,hawaiian,M,"13,25"
10965,4803.0,hawaiian_m,1,2015-03-22,17:50:14,hawaiian,M,"13,25"
355,146.0,cali_ckn_l,1,2015-01-03,14:22:10,cali_ckn,L,"20,75"
392,164.0,cali_ckn_l,1,2015-01-03,16:56:33,cali_ckn,L,"20,75"
413,174.0,cali_ckn_l,1,2015-01-03,17:37:49,cali_ckn,L,"20,75"
417,176.0,cali_ckn_l,1,2015-01-03,17:51:57,cali_ckn,L,"20,75"
451,191.0,cali_ckn_l,1,2015-01-03,20:24:50,cali_ckn,L,"20,75"
476,203.0,cali_ckn_l,1,2015-01-04,11:30:48,cali_ckn,L,"20,75"
493,209.0,cali_ckn_l,1,2015-01-04,12:29:17,cali_ckn,L,"20,75"
2492,1101.0,cali_ckn_l,1,2015-01-19,13:36:26,cali_ckn,L,"20,75"
4563,2021.0,cali_ckn_l,1,2015-02-03,14:25:13,cali_ckn,L,"20,75"
5630,2494.0,cali_ckn_l,1,2015-02-11,14:41:21,cali_ckn,L,"20,75"
7741,3408.0,cali_ckn_l,1,2015-02-27,12:28:49,cali_ckn,L,"20,75"
7770,3419.0,cali_ckn_l,1,2015-02-27,13:36:13,cali_ckn,L,"20,75"
7832,3444.0,cali_ckn_l,2,2015-02-27,17:57:03,cali_ckn,L,"20,75"
7851,3450.0,cali_ckn_l,1,2015-02-27,18:45:28,cali_ckn,L,"20,75"
7872,3459.0,cali_ckn_l,1,2015-02-27,19:11:44,cali_ckn,L,"20,75"
7875,3460.0,cali_ckn_l,1,2015-02-27,19:14:07,cali_ckn,L,"20,75"
7899,3473.0,cali_ckn_l,1,2015-02-28,11:49:43,cali_ckn,L,"20,75"
9841,4306.0,cali_ckn_l,1,2015-03-14,13:16:23,cali_ckn,L,"20,75"
9926,4350.0,cali_ckn_l,1,2015-03-14,21:02:43,cali_ckn,L,"20,75"
736,322.0,cali_ckn_l,1,2015-01-06,13:02:13,cali_ckn,L,"20,75"
810,353.0,cali_ckn_l,1,2015-01-06,17:59:48,cali_ckn,L,"20,75"
817,357.0,cali_ckn_l,1,2015-01-06,18:27:58,cali_ckn,L,"20,75"
2835,1252.0,cali_ckn_l,1,2015-01-21,21:32:07,cali_ckn,L,"20,75"
2885,1274.0,cali_ckn_l,1,2015-01-22,13:24:14,cali_ckn,L,"20,75"
5891,2612.0,cali_ckn_l,1,2015-02-13,13:43:11,cali_ckn,L,"20,75"
5924,2626.0,cali_ckn_l,1,2015-02-13,16:49:57,cali_ckn,L,"20,75"
5969,2645.0,cali_ckn_l,1,2015-02-13,20:26:18,cali_ckn,L,"20,75"
5986,2651.0,cali_ckn_l,1,2015-02-13,20:59:54,cali_ckn,L,"20,75"
8055,3534.0,cali_ckn_l,1,2015-03-01,12:33:49,cali_ckn,L,"20,75"
235,101.0,cali_ckn_l,1,2015-01-02,17:51:33,cali_ckn,L,"20,75"
251,107.0,cali_ckn_l,1,2015-01-02,18:25:09,cali_ckn,L,"20,75"
271,113.0,cali_ckn_l,1,2015-01-02,18:50:21,cali_ckn,L,"20,75"
344,144.0,cali_ckn_l,1,2015-01-03,13:44:28,cali_ckn,L,"20,75"
2292,1021.0,cali_ckn_l,1,2015-01-17,21:11:31,cali_ckn,L,"20,75"
2301,1026.0,cali_ckn_l,1,2015-01-17,21:55:05,cali_ckn,L,"20,75"
2360,1051.0,cali_ckn_l,1,2015-01-18,15:08:45,cali_ckn,L,"20,75"
2390,1065.0,cali_ckn_l,1,2015-01-18,17:48:16,cali_ckn,L,"20,75"
2397,1067.0,cali_ckn_l,1,2015-01-18,18:13:43,cali_ckn,L,"20,75"
4167,1851.0,cali_ckn_l,1,2015-02-01,11:49:01,cali_ckn,L,"20,75"
4193,1862.0,cali_ckn_l,1,2015-02-01,13:27:02,cali_ckn,L,"20,75"
